LOTID5	WAFER_ID	PROCESS_ID_LE522600_PROCESS_ID_MAX	ET_TIME_LE522600_TKOUT_TIME_MAX	D120_M1_1b_lat_100BCR	D120_M1_1b_lat_100IRD_L	D120_M1_4b_ult_PD_Vtsat	D120_M1_4b_ult_PG_Vtsat	D120_M1_4b_ult_PU_Idsat	D120_M1_4b_ult_PU_Vtsat	EGN_2/0.15_Vtsat	EGN_2/2_Vtlin	EGN_Cov	EGP_2/0.15_Vtsat	EGP_2/2_Vtlin	EGP_Cov	LVTN_0.21/0.03x7_Vtsat	LVTP_0.3/0.03x5_Vtsat	Lpoly_RVTN	Lpoly_RVTP	NW_Res_10x30	RVTN_0.21/0.03x7_Vtsat	RVTN_1/1_Vtlin	RVTN_Cov	RVTN_Covdd	RVTP_0.3/0.03x5_Vtsat	RVTP_1/1_Vtlin	RVTP_Cov	RVTP_Covdd	RVT_Vt_Sum	SGN_Tox_inv	SGP_Tox_inv	VPNP_Beta	date	month	date_lot
S64HV	15	UXTD	27/06/2017 05:35	189.893	18.541			10.039	421.8				0.25												0.308	0.507						0.878	27	6	6/27_S64HV
S64HV	16	UXTD	27/06/2017 05:47	194.96	20.19			10.771	410.914				0.245												0.301	0.516						0.888	27	6	6/27_S64HV
S64HV	19	UXTD	27/06/2017 06:03			477.923	464.677	10.08	442.609	0.521	0.59	0.213	0.244	0.527	0.554	0.339	0.198	33.184	36.447		0.413	0.418	0.23	1.044	0.31	0.513	0.307	0.976		13.517	16.168		27	6	6/27_S64HV
S64HV	21	UXTD	27/06/2017 06:20			466.739	463.882	10.393	431.794	0.511	0.584	0.215	0.246	0.521	0.547	0.336	0.184	33.354	36.199		0.407	0.42	0.23	1.047	0.32	0.515	0.304	0.968		13.513	16.236		27	6	6/27_S64HV
S64HV	22	UXTD	27/06/2017 06:37			478.24	462.391	11.32	417.61	0.514	0.583	0.212	0.255	0.522	0.544	0.352	0.189	33.092	35.926		0.411	0.416	0.228	1.035	0.293	0.519	0.3	0.959		13.563	16.258		27	6	6/27_S64HV
S64HV	25	UXTD	27/06/2017 06:47	184.107	19.468			9.988	429.257				0.251												0.313	0.511						0.864	27	6	6/27_S64HV
S65RF	13	UXTN	27/06/2017 05:16	185.913	17.007	485.649	479.614	10.116	417.413							0.353	0.225	33.772	36.832	768.792	0.423	0.42	0.225	1.073	0.335	0.503	0.312	0.996	0.757	13.269	15.952	0.805	27	6	6/27_S65RF
S65RF	15	UXTN	27/06/2017 05:19																				0.209	1.077			0.306	1.011					27	6	6/27_S65RF
S65RF	17	UXTN	27/06/2017 05:36			486.428	477.535	9.905	434.037							0.363	0.228				0.431	0.42	0.22	1.071	0.351	0.507	0.304	0.991		13.339	15.987		27	6	6/27_S65RF
S65RF	20	UXTN	27/06/2017 05:50			501.245	492.707	8.937	433.508							0.362	0.243	33.492	36.619		0.44	0.425	0.219	1.062	0.334	0.505	0.305	0.984		13.328	16.081		27	6	6/27_S65RF
S65RH	22	UXTN	27/06/2017 05:06			525.551	505.614	10.199	405.358								0.198	32.553	36.064		0.444	0.425	0.217	1.035	0.318	0.514	0.304	0.97		13.411	16.086		27	6	6/27_S65RH
S65RH	24	UXTN	27/06/2017 05:23			496.623	490.776	10.878	400.817								0.192	33.949	36.558		0.42	0.417	0.229	1.07	0.316	0.513	0.304	0.977		13.398	16.205		27	6	6/27_S65RH
S65XC	1	UXTN	27/06/2017 19:03			495.923	498.323	10.997	426.534							0.36	0.216	33.956	36.727		0.433	0.43	0.222	1.062	0.331	0.514	0.305	0.983		13.502	16.134		27	6	6/27_S65XC
S65XC	5	UXTN	27/06/2017 19:19			518.587	509.71	10.6	415.974							0.387	0.227	32.787	36.056		0.464	0.433	0.209	1.037	0.322	0.511	0.298	0.966		13.45	16.172		27	6	6/27_S65XC
S65XC	8	UXTN	27/06/2017 19:33			506.945	513.914	10.667	422.279							0.372	0.189	32.529	35.52		0.44	0.428	0.214	1.032	0.308	0.504	0.295	0.956		13.425	16.164		27	6	6/27_S65XC
S65XC	12	UXTN	27/06/2017 19:49			502.002	492.1	9.909	419.06							0.366	0.2	32.849	36.159		0.436	0.423	0.215	1.043	0.311	0.513	0.302	0.973		13.373	16.07		27	6	6/27_S65XC
S65XC	13	UXTN	27/06/2017 20:49	206.407	14.805	504.455	498.246	9.611	421.288							0.367	0.203	32.919	35.657	779.326	0.449	0.436	0.214	1.042	0.322	0.516	0.301	0.958	0.765	13.433	16.206	0.841	27	6	6/27_S65XC
S65XC	18	UXTN	27/06/2017 21:03			517.579	506.904	10.847	415.252							0.378	0.2	32.832	35.895		0.446	0.426	0.213	1.041	0.329	0.51	0.303	0.97		13.398	16.036		27	6	6/27_S65XC
S605B	15	UXTD	28/06/2017 00:47	168.969	20.63	472.977	467.513	10.155	406.2	0.52	0.59	0.21	0.244	0.503	0.539	0.347	0.219	33.742	36.816	766.126	0.418	0.422	0.225	1.066	0.336	0.521	0.312	0.988	0.75	13.396	16.051	0.854	28	6	6/28_S605B
S605B	16	UXTD	28/06/2017 01:49	185.305	17.818	480.675	474.689	9.423	427.098	0.538	0.594	0.209	0.242	0.502	0.538	0.356	0.232	33.427	36.554	773.592	0.43	0.429	0.225	1.054	0.339	0.517	0.311	0.981	0.765	13.419	16.116	0.848	28	6	6/28_S605B
