LOTID5	PROCESS_ID_LX562150_PROCESS_ID_MAX	ET_TIME_LX562150_TKOUT_TIME_MAX	WAFER_ID	D120_M1_4b_ult_PD_Idsat	D120_M1_4b_ult_PD_Vtsat	D120_M1_4b_ult_PG_Idsat	D120_M1_4b_ult_PG_Vtsat	D120_M1_4b_ult_PU_Idsat	D120_M1_4b_ult_PU_Vtsat	EGN_2/0.15_Vtsat	EGN_2/2_Vtlin	EGN_Tox_inv	EGP_2/0.45_Vtsat	EGP_2/2_Vtlin	EGP_Tox_inv	HVN_AS_10/2.6x1_Vtsat	HVP_S_10/2x1_Vtsat	HVTN_0.21/0.03x7_Vtsat	HVTN_1/1_Vtlin	HVTN_Cov	HVTN_Covdd	HVTP_0.3/0.03x5_Vtsat	HVTP_1/1_Vtlin	HVTP_Cov	HVTP_Covdd	Leff_N	Leff_P	SGN_Tox_inv	SGP_Tox_inv	UMVN_10/10x1_Vtlin	UMVP_10/10x1_Vtlin	date	month	date_lot
S63PN	UXU6	30/06/2017 19:27	5							0.516	0.547	35.456	0.468	0.542	40.082	0.852	1.092	0.477	0.417	0.22	1.088	0.411	0.529	0.276	0.986	25.071	20.12	13.319	16.123	0.879	0.89	30	6	6/30_S63PN
S63PN	UXU6	30/06/2017 20:49	13							0.527	0.55	35.403	0.47	0.54	40	0.852	1.098	0.466	0.416	0.217	1.099	0.413	0.522	0.279	0.997	25.299	20.159	13.22	16.01	0.885	0.893	30	6	6/30_S63PN
S63PN	UXU6	30/06/2017 21:14	14							0.526	0.548	35.362		0.545	39.861			0.504	0.425	0.209		0.427	0.54	0.276				13.381	16.145	0.885	0.894	30	6	6/30_S63PN
S6405	UXU6	30/06/2017 08:44	8							0.516	0.56	36.126	0.455	0.529	40.185	0.861	1.1	0.495	0.428	0.211	1.047	0.382	0.53	0.274	0.962	24.301	19.606	13.486	16.286	0.886	0.888	30	6	6/30_S6405
S65RN	UXU6	30/06/2017 22:29	12							0.523	0.55	35.598		0.541	40.081			0.456	0.405	0.224		0.405	0.52	0.292				13.26	16.097	0.907	0.883	30	6	6/30_S65RN
S65RN	UXU6	30/06/2017 23:52	13							0.521	0.55	35.896	0.463	0.543	40.386	0.891	1.069	0.463	0.413	0.223	1.101	0.409	0.532	0.287	0.989	25.342	19.418	13.36	16.2	0.911	0.881	30	6	6/30_S65RN
S60HX	UXU3	01/07/2017 10:10	10							0.512	0.55	36.202		0.558	40.621			0.466	0.416			0.388	0.546					13.333	16.196	0.9	0.886	1	7	7/01_S60HX
S60HX	UXU3	01/07/2017 11:31	13							0.509	0.546	36.258	0.487	0.558	40.762	0.903	1.046	0.484	0.418	0.211	1.046	0.404	0.537	0.288	0.964	24.329	18.168	13.407	16.227	0.899	0.884	1	7	7/01_S60HX
S60HX	UXU3	01/07/2017 11:57	15							0.525	0.557	36.765		0.556	41.05			0.483	0.419	0.212		0.381	0.541	0.291				13.339	16.22	0.908	0.878	1	7	7/01_S60HX
S60HX	UXU3	01/07/2017 12:04	20							0.519	0.553	36.226		0.552	40.655			0.484	0.429			0.388	0.542					13.402	16.247	0.902	0.882	1	7	7/01_S60HX
